stock_code,corp_name,event_type,report_nm,news_count,news_sentiment_score,hype_keyword_count,rumor_keyword_count,retail_keyword_count,positive_catalyst_keyword_count,risk_noise_keyword_count,social_attention_score,rumor_noise_score,risk_noise_score,attention_label,rumor_label,risk_label,source_text_sample
175250,아이큐어,major_shareholder_change,기타시장안내(최대주주의의무보유관련)              ,5.0,-2.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"아이큐어 기타시장안내(최대주주의의무보유관련)               major_shareholder_change 8월 28일 주식시장 주요공시 | 아이큐어, 250억 유증 납입 완료…신신제약도 주주 합류 | [HIT알공] 삼성바이오 3조 유상증자…중외, 보팡글루타이드 당뇨 3상"
175250,아이큐어,major_shareholder_change,기타시장안내(최대주주의의무보유관련)              ,5.0,-2.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"아이큐어 기타시장안내(최대주주의의무보유관련)               major_shareholder_change 8월 28일 주식시장 주요공시 | 아이큐어, 250억 유증 납입 완료…신신제약도 주주 합류 | [HIT알공] 삼성바이오 3조 유상증자…중외, 보팡글루타이드 당뇨 3상"
175250,아이큐어,major_shareholder_change,기타시장안내(최대주주의의무보유관련)              ,5.0,-2.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"아이큐어 기타시장안내(최대주주의의무보유관련)               major_shareholder_change 8월 28일 주식시장 주요공시 | 아이큐어, 250억 유증 납입 완료…신신제약도 주주 합류 | [HIT알공] 삼성바이오 3조 유상증자…중외, 보팡글루타이드 당뇨 3상"
175250,아이큐어,major_shareholder_change,최대주주변경              ,5.0,-2.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"아이큐어 최대주주변경               major_shareholder_change 8월 28일 주식시장 주요공시 | 아이큐어, 250억 유증 납입 완료…신신제약도 주주 합류 | [HIT알공] 삼성바이오 3조 유상증자…중외, 보팡글루타이드 당뇨 3상"
175250,아이큐어,major_shareholder_change,최대주주변경              ,5.0,-2.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"아이큐어 최대주주변경               major_shareholder_change 8월 28일 주식시장 주요공시 | 아이큐어, 250억 유증 납입 완료…신신제약도 주주 합류 | [HIT알공] 삼성바이오 3조 유상증자…중외, 보팡글루타이드 당뇨 3상"
175250,아이큐어,major_shareholder_change,최대주주변경              ,5.0,-2.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"아이큐어 최대주주변경               major_shareholder_change 8월 28일 주식시장 주요공시 | 아이큐어, 250억 유증 납입 완료…신신제약도 주주 합류 | [HIT알공] 삼성바이오 3조 유상증자…중외, 보팡글루타이드 당뇨 3상"
079950,인베니아,disclosure_violation,불성실공시법인지정              (공시불이행),5.0,-5.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,인베니아 불성실공시법인지정              (공시불이행) disclosure_violation 8월 28일 주식시장 주요공시 | [오늘의 증시일정] 아고스·알엔투테크놀로지·에스아이리소스 등 | LIG家 584억 세금폭탄 가른 '7만6000원'…LIG넥스원 공모가의 나비효과
065420,에스아이리소스,disclosure_violation,불성실공시법인지정              (공시불이행 5건),5.0,-1.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,에스아이리소스 불성실공시법인지정              (공시불이행 5건) disclosure_violation 8월 28일 주식시장 주요공시 | [오늘의 증시일정] 아고스·알엔투테크놀로지·에스아이리소스 등 | 8월 14일 주식시장 주요공시
033790,피노,paid_in_capital_increase,주요사항보고서(유상증자결정),5.0,-2.0,0,0,0,0,2,3.5,0,6,low_attention,no_rumor_signal,risk_noise_detected,"피노 주요사항보고서(유상증자결정) paid_in_capital_increase 차익 실현 물량에 하락 종목 출회… 선별적 접근 필요한 전기제품 업종 | 피노, 코스모신소재 대상 150억원 유증…""이차전지 소재 사업 경쟁력 강... | 피노, 코스모신소재 150억 유상증자…""LFP 양극재 사업 속도"""
210980,SK디앤디,supply_contract,[기재정정]단일판매ㆍ공급계약체결              ,5.0,-1.0,0,0,0,2,0,7.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,SK디앤디 [기재정정]단일판매ㆍ공급계약체결               supply_contract 8월 28일 주식시장 주요공시 | 전세 지고 월세 뜨자⋯'기업 집주인' 시장 선점 나선 국내외 자본 [월세... | [자금조달 프리뷰] 롯데지주·한화리츠 공모채…IPO 2곳 '탐색전'
