rule_group,rule_value,evaluated_count,success_count,failure_count,success_rate,baseline_success_rate,lift_vs_baseline,confidence_level,recommended_action,suspicious_flag,suspicious_reason,date_coverage_count
score_version,legacy_or_unknown,368,190,178,51.63,42.53,9.1,high,boost,False,,7
final_price_signal_score_v2,missing,368,190,178,51.63,42.53,9.1,high,boost,False,,7
overextension_penalty,missing,368,190,178,51.63,42.53,9.1,high,boost,False,,7
reversal_risk_penalty,missing,368,190,178,51.63,42.53,9.1,high,boost,False,,7
news_risk_penalty,missing,368,190,178,51.63,42.53,9.1,high,boost,False,,7
attention_noise_penalty,missing,368,190,178,51.63,42.53,9.1,high,boost,False,,7
volume_confirmation_score,missing,368,190,178,51.63,42.53,9.1,high,boost,False,,7
liquidity_score,missing,368,190,178,51.63,42.53,9.1,high,boost,False,,7
liquidity_score,confirmed,351,160,191,45.58,42.53,3.05,high,boost,False,,10
volume_confirmation_score,high,79,46,33,58.23,42.53,15.7,low,boost,True,large_lift_with_under_100_cases,9
candidate_rank,top_10,74,41,33,55.41,42.53,12.88,low,boost,True,large_lift_with_under_100_cases,11
final_price_signal_score_v2,score_50_plus,74,40,34,54.05,42.53,11.52,low,boost,True,large_lift_with_under_100_cases,10
selected_pick,selected,79,42,37,53.16,42.53,10.63,low,boost,True,large_lift_with_under_100_cases,11
candidate_rank,missing,294,159,135,54.08,42.53,11.55,medium,boost,False,,6
reversal_risk_penalty,high,163,82,81,50.31,42.53,7.78,medium,boost,True,boost_on_semantically_risky_bucket,10
overextension_penalty,high,113,53,60,46.9,42.53,4.37,medium,boost,True,boost_on_semantically_risky_bucket,10
candidate_rank,rank_101_plus,788,309,479,39.21,42.53,-3.32,high,penalize,False,,10
overextension_penalty,none,1020,398,622,39.02,42.53,-3.51,high,penalize,False,,10
news_risk_penalty,none,1147,446,701,38.88,42.53,-3.65,high,penalize,False,,10
final_price_signal_score_v2,score_20_30,462,175,287,37.88,42.53,-4.65,high,penalize,False,,10
candidate_rank,rank_51_100,378,140,238,37.04,42.53,-5.49,high,penalize,False,,10
reversal_risk_penalty,none,626,228,398,36.42,42.53,-6.11,high,penalize,False,,10
liquidity_score,none,58,3,55,5.17,42.53,-37.36,low,penalize,True,large_lift_with_under_100_cases,10
volume_confirmation_score,moderate,179,69,110,38.55,42.53,-3.98,medium,penalize,False,,10
final_price_signal_score_v2,score_lt_20,138,52,86,37.68,42.53,-4.85,medium,penalize,False,,10
reversal_risk_penalty,low,188,69,119,36.7,42.53,-5.83,medium,penalize,False,,10
volume_confirmation_score,none,283,95,188,33.57,42.53,-8.96,medium,penalize,False,,10
selected_pick,broad_pool,1494,627,867,41.97,42.53,-0.56,high,neutral,False,,17
volume_confirmation_score,negative,664,269,395,40.51,42.53,-2.02,high,neutral,False,,10
final_price_signal_score_v2,score_30_40,531,212,319,39.92,42.53,-2.61,high,neutral,False,,10
score_version,v2_conservative_ranker,1205,479,726,39.75,42.53,-2.78,high,neutral,False,,10
attention_noise_penalty,none,1160,461,699,39.74,42.53,-2.79,high,neutral,False,,10
liquidity_score,basic,796,316,480,39.7,42.53,-2.83,high,neutral,False,,10
reversal_risk_penalty,medium,228,100,128,43.86,42.53,1.33,medium,neutral,False,,10
news_risk_penalty,high,2,2,0,100.0,42.53,57.47,insufficient,watch,True,large_lift_with_under_100_cases; only_one_or_two_signal_dates,2
news_risk_penalty,low,17,12,5,70.59,42.53,28.06,insufficient,watch,True,large_lift_with_under_100_cases,8
candidate_rank,rank_21_50,34,19,15,55.88,42.53,13.35,insufficient,watch,True,large_lift_with_under_100_cases; only_one_or_two_signal_dates,2
attention_noise_penalty,low,4,2,2,50.0,42.53,7.47,insufficient,watch,False,,3
news_risk_penalty,medium,39,19,20,48.72,42.53,6.19,insufficient,watch,False,,10
overextension_penalty,low,45,18,27,40.0,42.53,-2.53,insufficient,watch,False,,8
attention_noise_penalty,high,41,16,25,39.02,42.53,-3.51,insufficient,watch,False,,8
overextension_penalty,medium,27,10,17,37.04,42.53,-5.49,insufficient,watch,False,,7
candidate_rank,rank_11_20,5,1,4,20.0,42.53,-22.53,insufficient,watch,True,large_lift_with_under_100_cases; only_one_or_two_signal_dates,2
