rule_group,rule_value,evaluated_count,success_count,failure_count,success_rate,baseline_success_rate,lift_vs_baseline,confidence_level,recommended_action,suspicious_flag,suspicious_reason,date_coverage_count
reversal_risk_penalty,high,394,208,186,52.79,42.36,10.43,high,boost,True,boost_on_semantically_risky_bucket,26
candidate_rank,missing,330,169,161,51.21,42.36,8.85,high,boost,False,,6
overextension_penalty,high,367,184,183,50.14,42.36,7.78,high,boost,True,boost_on_semantically_risky_bucket,26
score_version,legacy_or_unknown,403,200,203,49.63,42.36,7.27,high,boost,False,,7
final_price_signal_score_v2,missing,403,200,203,49.63,42.36,7.27,high,boost,False,,7
overextension_penalty,missing,403,200,203,49.63,42.36,7.27,high,boost,False,,7
reversal_risk_penalty,missing,403,200,203,49.63,42.36,7.27,high,boost,False,,7
news_risk_penalty,missing,403,200,203,49.63,42.36,7.27,high,boost,False,,7
attention_noise_penalty,missing,403,200,203,49.63,42.36,7.27,high,boost,False,,7
volume_confirmation_score,missing,403,200,203,49.63,42.36,7.27,high,boost,False,,7
liquidity_score,missing,403,200,203,49.63,42.36,7.27,high,boost,False,,7
selected_pick,selected,362,170,192,46.96,42.36,4.6,high,boost,False,,27
liquidity_score,confirmed,909,418,491,45.98,42.36,3.62,high,boost,False,,26
reversal_risk_penalty,medium,561,257,304,45.81,42.36,3.45,high,boost,False,,26
news_risk_penalty,medium,86,40,46,46.51,42.36,4.15,low,boost,False,,25
volume_confirmation_score,high,205,97,108,47.32,42.36,4.96,medium,boost,False,,25
candidate_rank,top_10,220,104,116,47.27,42.36,4.91,medium,boost,False,,27
candidate_rank,rank_11_20,142,66,76,46.48,42.36,4.12,medium,boost,False,,19
reversal_risk_penalty,none,1529,583,946,38.13,42.36,-4.23,high,penalize,False,,26
reversal_risk_penalty,low,501,187,314,37.33,42.36,-5.03,high,penalize,False,,26
volume_confirmation_score,none,729,269,460,36.9,42.36,-5.46,high,penalize,False,,26
candidate_rank,rank_51_100,367,133,234,36.24,42.36,-6.12,high,penalize,False,,15
candidate_rank,rank_21_50,192,75,117,39.06,42.36,-3.3,medium,penalize,False,,15
liquidity_score,none,159,5,154,3.14,42.36,-39.22,medium,penalize,False,,26
volume_confirmation_score,negative,1599,684,915,42.78,42.36,0.42,high,neutral,False,,26
liquidity_score,basic,1917,812,1105,42.36,42.36,0.0,high,neutral,False,,26
final_price_signal_score_v2,score_50_plus,544,230,314,42.28,42.36,-0.08,high,neutral,False,,26
final_price_signal_score_v2,score_30_40,1438,603,835,41.93,42.36,-0.43,high,neutral,False,,26
selected_pick,broad_pool,3026,1265,1761,41.8,42.36,-0.56,high,neutral,False,,33
candidate_rank,rank_101_plus,2137,888,1249,41.55,42.36,-0.81,high,neutral,False,,26
score_version,v2_conservative_ranker,2985,1235,1750,41.37,42.36,-0.99,high,neutral,False,,26
attention_noise_penalty,none,2883,1192,1691,41.35,42.36,-1.01,high,neutral,False,,26
news_risk_penalty,none,2773,1138,1635,41.04,42.36,-1.32,high,neutral,False,,26
volume_confirmation_score,moderate,452,185,267,40.93,42.36,-1.43,high,neutral,False,,26
overextension_penalty,none,2397,958,1439,39.97,42.36,-2.39,high,neutral,False,,26
final_price_signal_score_v2,score_20_30,780,309,471,39.62,42.36,-2.74,high,neutral,False,,26
attention_noise_penalty,high,94,40,54,42.55,42.36,0.19,low,neutral,False,,18
news_risk_penalty,high,106,46,60,43.4,42.36,1.04,medium,neutral,False,,16
overextension_penalty,medium,101,43,58,42.57,42.36,0.21,medium,neutral,False,,23
final_price_signal_score_v2,score_lt_20,208,87,121,41.83,42.36,-0.53,medium,neutral,False,,26
overextension_penalty,low,120,50,70,41.67,42.36,-0.69,medium,neutral,False,,23
news_risk_penalty,low,20,11,9,55.0,42.36,12.64,insufficient,watch,True,large_lift_with_under_100_cases,10
attention_noise_penalty,low,4,2,2,50.0,42.36,7.64,insufficient,watch,False,,3
final_price_signal_score_v2,score_40_50,15,6,9,40.0,42.36,-2.36,insufficient,watch,False,,3
attention_noise_penalty,medium,4,1,3,25.0,42.36,-17.36,insufficient,watch,True,large_lift_with_under_100_cases,4
