source_provider,query,provider_mix,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,rumor_noise_keyword_count,attention_keyword_count,news_attention_score,rumor_noise_score,news_risk_score,top_titles
google_news_rss,003490,google_news_rss,5,1,1,2,2,0,0,6,0,6,"대한항공(003490) - 씽크풀 AI | 대한항공, 인천-히로시마 노선 신규 취항…12월부터 운항 - KB Think | 대한항공·아시아나항공 합병 결의…통합 앞두고 막바지 준비(종합) - 매일경제 마켓"
google_news_rss,004990,google_news_rss,5,1,2,3,3,0,0,7,0,9,"롯데지주 회사채 수요예측서 4배 몰려…모집액 증액 결정 - 연합뉴스 | 롯데지주, '좀 더 많은 변화가 필요' 증권사 발표에 강세 - 매일경제 마켓 | 신동빈 회장, 상반기 롯데지주서 보수 32.6억 수령…전년比 24.9%↑ - 뉴스1"
google_news_rss,005820,google_news_rss,5,1,2,2,2,0,0,7,0,6,"원림, 거제시 수해복구 위해 산업용 포장재 1만 장 지원 - dhns.co.kr | 원림, 체질개선 효과로 ‘외형·내실’ 동반 성장…매출 430억 달성 - 시사타임즈 | 원림(005820) - 매일경제 마켓"
google_news_rss,006220,google_news_rss,5,1,1,3,2,1,1,8,2,7,"[생생한 주식쇼 생쇼] 제주은행 (006220) - 매일경제TV | 특징주, 제주은행-은행 테마 상승세에 1.48% ↑ - 매일경제 마켓 | [업앤다운]은행주 하락…제주은행↑·케이뱅크↓ - NSP통신"
google_news_rss,009160,google_news_rss,5,1,0,3,3,0,0,5,0,9,"[MK 골든크로스 돌파종목 : SIMPAC(009160) & 삼륭물산(014970)] - 매일경제 마켓 | SIMPAC, 129만1990주 자기주식 취득 결정 - 디지털투데이 | 심팩, 모회사 삼키는 역흡수합병…'승계 재원 마련용' 의혹 - ibtomato.com"
google_news_rss,009410,google_news_rss,5,1,3,3,3,0,0,8,0,9,"[코스피·코스닥 전 거래일(27일) 주요공시] - 매일경제 마켓 | 태영건설 수주공시 - 수원시 자원회수시설 개선사업 675억원 (매출액대비 3.10 %) - 한국경제 | 태영건설, PF 보증 1조대로 줄였다…남은 건 자회사 부실 - ibtomato.com"
google_news_rss,012630,google_news_rss,5,1,1,2,3,0,0,6,0,8,"[실적속보]HDC, 3년 중 최고 영업이익 기록, 매출액은 전년동기 대비 -16%↓ (연결) - 씽크풀 AI | 공정위 '친족 계열사 20개 누락' 정몽규 HDC 회장 검찰 고발 - 연합뉴스 | 에이치디씨, 불성실공시법인 지정 예고 - 디지털투데이"
google_news_rss,017810,google_news_rss,5,1,1,2,2,0,0,6,0,6,"풀무원식품, 강남구 1인가구센터와 '식생활 클래스' 운영 맞손 - 연합뉴스 | 풀무원푸드머스, 저소득 영유아 가정에 간식 지원 - 연합뉴스 한민족센터 | 풀무원, 2분기 영업익 246억원…전년比 26% 증가(1보) - v.daum.net"
google_news_rss,018260,google_news_rss,5,1,0,2,2,1,1,7,2,6,"삼성에스디에스 018260 | 펀더멘탈 - 데일리바이트(DAILY BYTE) | 삼성에스디에스(018260)저점에선 물량 모아둘 기회로 보이며, 이후 전망 및 대응전략. - 씽크풀 AI | 삼성에스디에스(018260), 2분기 영업이익 2,350억원 전망…목표주가 25만원 상향 - 한국투데이"
google_news_rss,020560,google_news_rss,5,1,0,3,2,2,2,9,4,7,"대한항공·아시아나항공 합병 결의…통합 앞두고 막바지 준비(종합) - 매일경제 마켓 | [장중수급포착] 아시아나항공, 외국인/기관 동시 순매수… 주가 +1.96% - 씽크풀 AI | 아시아나, 대한항공 포함 임직원 자녀 초청 '승무원 진로 교육' 실시 - v.daum.net"
