source_provider,query,provider_mix,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,rumor_noise_keyword_count,attention_keyword_count,news_attention_score,rumor_noise_score,news_risk_score,top_titles
google_news_rss,000720,google_news_rss,5,1,4,1,1,2,2,13,4,3,현대건설(000720)밀릴때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - 씽크풀 AI | 현대건설(000720) - 매일경제 마켓 | 현대건설(000720) - 씽크풀 AI
google_news_rss,000760,google_news_rss,4,1,0,2,2,1,1,6,2,6,"이화산업(000760) - 매일경제 마켓 | 대성산업, 상한가 진입.. +29.97% ↑ - 서울경제 | 상한가(11월28일), 11월 마지막 주 '불기둥' 종목은?? : 네이버 블로그 - Naver Blog"
google_news_rss,006220,google_news_rss,5,1,1,2,1,1,1,8,2,4,"특징주, 제주은행-은행 테마 상승세에 1.48% ↑ - 매일경제 마켓 | [업앤다운]은행주 하락…제주은행↑·케이뱅크↓ - NSP통신 | 특징주, 제주은행-은행 테마 상승세에 9.61% ↑ - 매일경제 마켓"
google_news_rss,009160,google_news_rss,5,1,1,3,3,0,0,6,0,9,"[MK 골든크로스 돌파종목 : SIMPAC(009160) & 삼륭물산(014970)] - 매일경제 마켓 | SIMPAC, 129만1990주 자기주식 취득 결정 - 디지털투데이 | 심팩, 합병 이사회 결의 무효확인 소송 항소장 각하명령 수령 - 디지털투데이"
google_news_rss,010130,google_news_rss,5,1,2,2,2,1,1,9,2,6,"MBK ""최윤범 일가 투자후 고려아연 출자 펀드가 후속투자""(종합) - 연합뉴스 | 특징주, 고려아연-귀금속(금/은) 테마 상승세에 5.58% ↑ - 매일경제 마켓 | 의결권 자문사 4곳, 고려아연 추천 백인규 후보 '찬성' 권고(종합) - v.daum.net"
google_news_rss,011420,google_news_rss,5,1,5,2,2,1,1,12,2,6,"갤럭시아에스엠 (011420) - 씽크풀 AI | 갤럭시아에스엠, 사외이사 로빈스승훈 자진사임 - 디지털투데이 | 갤럭시아에스엠, 현대건설과 운동기구 공급계약 체결 - 네이트"
google_news_rss,017810,google_news_rss,5,1,1,2,2,0,0,6,0,6,"풀무원식품, 강남구 1인가구센터와 '식생활 클래스' 운영 맞손 - 연합뉴스 | 풀무원, 2분기 영업익 246억원…전년比 26% 증가(1보) - v.daum.net | 풀무원푸드머스, 저소득 영유아 가정에 간식 지원 - 연합뉴스"
google_news_rss,024720,google_news_rss,5,1,1,1,1,0,0,6,0,3,"[실적속보]콜마홀딩스, 3년 중 최고 영업이익 기록, 매출액은 전년동기 대비 -19%↓ (연결) - 씽크풀 AI | Primer: 한국콜마홀딩스(024720 KS) - 2026년 8월 - Smartkarma | '콜마홀딩스' 5% 이상 상승, 전일 외국인 대량 순매수 - 씽크풀 AI"
google_news_rss,029460,google_news_rss,5,1,3,1,1,2,2,12,4,3,"케이씨, 애프터마켓서 10%대 급등 - 연합뉴스 | [실적속보]케이씨, 작년 4Q 매출액 1761억(-19%) 영업이익 35.6억(-88%) (연결) - 씽크풀 AI | 특징주, 케이씨-반도체 장비 테마 상승세에 1.93% ↑ - 매일경제 마켓"
google_news_rss,064800,google_news_rss,5,1,0,3,3,0,0,5,0,9,"포니링크 (064800) - 씽크풀 AI | 포니링크, 100원→500원 주식병합 결정 - 마켓인 | 포니링크, 주식병합으로 주권매매거래정지 - 디지털투데이"
google_news_rss,084870,google_news_rss,5,1,2,2,2,0,0,7,0,6,"[잠정실적]TBH글로벌, 올해 2Q 매출액 533억(+11%) 영업이익 35.9억(-4.3%) (연결) - 씽크풀 AI | TBH글로벌, 신규 브랜드 '타임아웃' 1차 라인업 확정 - v.daum.net | TBH글로벌, ‘타임아웃’ 카테고리 4개 확정…11월 첫 라인업 - 서울경제"
google_news_rss,089860,google_news_rss,5,1,2,2,2,1,1,9,2,6,"[실적속보]롯데렌탈, 3년 중 최고 매출 달성, 영업이익은 전년동기 대비 9.6%↑ (연결) - 씽크풀 AI | 롯데렌탈 '렌탈 경쟁력은 수익성 확대! 여전히 매력적인 기업~' 증권사 발표에 강세…4.44% - 매일경제 마켓 | 롯데렌탈(089860)_이수범 전문가_종목 상담 (20230731) Directive 8020 (3aMISfnIDF) - Mshale"
google_news_rss,100840,google_news_rss,5,1,0,1,1,1,1,7,2,3,"[실적속보]SNT에너지, 올해 2Q 매출액 1080억(-23%) 영업이익 213억(-22%) (연결) - 씽크풀 AI | [MK 골든크로스 돌파종목 : SNT에너지(100840) & 동부건설(005960)] - 매일경제 마켓 | [0403시황레이더] SNT에너지, 미주 LNG 프로젝트 기대감 등 - 인포스탁데일리"
google_news_rss,101970,google_news_rss,5,1,4,1,1,0,0,9,0,3,"SIGNAL - 서울경제 | 우양에이치씨(101970) - 매일경제 마켓 | 우양에이치씨, 332억 8천만 원 공급계약→글로벌 시장 입지 강화 - 톱스타뉴스"
google_news_rss,112610,google_news_rss,5,1,2,3,2,0,1,7,0,7,"[장중수급포착] 씨에스윈드, 외국인/기관 동시 순매수… 주가 +1.12% - 씽크풀 AI | 씨에스윈드 1분기 영업이익 743억원…작년 동기 대비 40.7%↓ - 매일경제 마켓 | DS투자, 씨에스윈드 목표가↑…""2∼3분기 굵직한 수주 몰릴 것"" - 연합뉴스"
google_news_rss,114190,google_news_rss,5,1,1,3,3,1,1,8,2,9,"[실적속보]강원에너지, 올해 2Q 매출액 475억(-33%) 영업이익 -9500만(적자지속) (연결) - 씽크풀 AI | [생생한 주식쇼 생쇼] 강원에너지 (114190) - 매일경제TV | 특징주, 강원에너지-리튬 테마 상승세에 5.02% ↑ - 매일경제 마켓"
google_news_rss,241840,google_news_rss,5,1,2,2,2,0,0,7,0,6,"SIGNAL - 서울경제 | [실적속보]에이스토리, 올해 1Q 매출액 67.1억(+432%) 영업이익 -12.1억(적자지속) (연결) - 씽크풀 AI | 에이스토리, 드라마 '크래시 시즌2' 방영권 라이센스 계약 - 마켓인"
google_news_rss,290270,google_news_rss,5,1,0,1,1,0,0,5,0,3,"[실적속보]휴네시온, 올해 2Q 매출액 88.2억(-16%) 영업이익 8.8억(-51%) (연결) - 씽크풀 AI | 휴네시온(290270) - 씽크풀 AI | 휴네시온(290270) - 씽크풀 AI"
google_news_rss,337840,google_news_rss,2,1,0,2,2,1,0,4,2,6,"UXN, 무효소 연속혈당측정기 임상 한·중동서 투트랙 추진 - 연합뉴스 | UXN ""기술탈취""·SD바이오센서 ""사실무근""…BW조기상환에 '공방' - 매일경제 마켓"
google_news_rss,363280,google_news_rss,5,1,2,2,2,0,0,7,0,6,"티와이홀딩스 (363280) - 씽크풀 AI | 티와이홀딩스, 자기주식 소각 방식 감자 결정 - 디지털투데이 | 태영건설 사장에 최진국…""내실중심 성장에 초점"" - 연합뉴스"
