stock_code,corp_name,event_type,report_nm,news_count,news_sentiment_score,hype_keyword_count,rumor_keyword_count,retail_keyword_count,positive_catalyst_keyword_count,risk_noise_keyword_count,social_attention_score,rumor_noise_score,risk_noise_score,attention_label,rumor_label,risk_label,source_text_sample
064290,인텍플러스,supply_contract,[기재정정]단일판매ㆍ공급계약체결              ,5.0,2.0,0,0,0,2,0,7.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"인텍플러스 [기재정정]단일판매ㆍ공급계약체결               supply_contract 9월 1일 주식시장 주요공시 | “HBM만 보지 마세요”…반도체 증설 본격화, 후공정주도 소·부·장 볕... | [주간 코스닥 외국인] 실리콘투 집중 매수…반도체·바이오도 담았다"
066430,아이로보틱스,lawsuit,소송등의판결ㆍ결정              (주주총회소집허가),5.0,3.0,0,0,0,1,1,5.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,"아이로보틱스 소송등의판결ㆍ결정              (주주총회소집허가) lawsuit 9월 1일 주식시장 주요공시 | 폴란드 최대 드론공장 의문의 방화…檢, '외국 정보기관 사보타주' 수사... | [홍콩 특징주] 알리바바·센스타임 투자 '中 엑설런드 로보틱스', 9일 상..."
368770,파이버프로,supply_contract,[기재정정]단일판매ㆍ공급계약체결              ,5.0,10.0,0,0,0,2,0,7.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,파이버프로 [기재정정]단일판매ㆍ공급계약체결               supply_contract 9월 1일 주식시장 주요공시 | 8월 31일 주식시장 주요공시 | [박정식의 국내 주식시황] 금리·유가 부담에 보합권 장세…삼성전자·...
045660,에이텍,supply_contract,단일판매ㆍ공급계약체결              ,5.0,8.0,0,0,0,2,0,7.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"에이텍 단일판매ㆍ공급계약체결               supply_contract 9월 1일 주식시장 주요공시 | 9월 2일 개장 전 주요 공시 | [N2 모닝 경제 브리핑-9월 2일] 美 증시, 미·이란 충돌 격화에 3대 지수..."
034020,두산에너빌리티,supply_contract,[기재정정]단일판매ㆍ공급계약체결              ,5.0,1.0,0,0,0,2,1,7.5,0,3,medium_attention,no_rumor_signal,risk_noise_detected,"두산에너빌리티 [기재정정]단일판매ㆍ공급계약체결               supply_contract 美-이란 교전 재개, 국제유가 '요동'...코스피 '급락 출발' | 부산대, 동남권 AX 혁신 전면에… '거점국립대 패키지 지원사업' 선정 | 헬기로 수색견 이송...기업 오늘도 공중수색 시도"
034020,두산에너빌리티,supply_contract,[기재정정]단일판매ㆍ공급계약체결              ,5.0,1.0,0,0,0,2,1,7.5,0,3,medium_attention,no_rumor_signal,risk_noise_detected,"두산에너빌리티 [기재정정]단일판매ㆍ공급계약체결               supply_contract 美-이란 교전 재개, 국제유가 '요동'...코스피 '급락 출발' | 부산대, 동남권 AX 혁신 전면에… '거점국립대 패키지 지원사업' 선정 | 헬기로 수색견 이송...기업 오늘도 공중수색 시도"
090080,평화산업,major_shareholder_change,최대주주등소유주식변동신고서              ,5.0,2.0,0,0,0,0,0,3.5,0,0,low_attention,no_rumor_signal,no_risk_noise,"평화산업 최대주주등소유주식변동신고서               major_shareholder_change 포니2에서 자율주행까지…국립대구과학관 ‘드라이빙 더 퓨처’ 특별전 | 국립대구과학관, '드라이빙 더 퓨처' 특별전 개막 | 국립대구과학관, 특별전 ‘드라이빙 더 퓨처’ 개막…자동차 산업의 과..."
021320,KCC건설,supply_contract,[기재정정]단일판매ㆍ공급계약체결(자율공시)              ,5.0,4.0,0,0,0,2,0,7.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,KCC건설 [기재정정]단일판매ㆍ공급계약체결(자율공시)               supply_contract 9월 1일 주식시장 주요공시 | 화성 향남에 5년 만에 새 아파트…'향남역 그로브 스위첸' 분양 | [더벨][thebell note] 이사회를 움직이는 사람들
002990,금호건설,supply_contract,[기재정정]단일판매ㆍ공급계약체결              ,5.0,4.0,2,0,0,2,0,13.5,0,0,high_attention,no_rumor_signal,no_risk_noise,"금호건설 [기재정정]단일판매ㆍ공급계약체결               supply_contract 9월 1일 주식시장 주요공시 | [주식마감] '탈모 치료제' 기대감에 현대약품·JW신약 상한가... SK디앤디... | ""준공후 지분 순차 매각 지속""…DL이앤씨, 서울터널·수원순환도로에 손..."
092790,넥스틸,major_shareholder_change,최대주주등소유주식변동신고서              ,5.0,7.0,0,0,0,0,1,3.5,0,3,low_attention,no_rumor_signal,risk_noise_detected,넥스틸 최대주주등소유주식변동신고서               major_shareholder_change 철강 부품 및 관류 관련주 반등 시도…밸류에이션 매력 부각 | 페로타임즈 손바닥뉴스 8월24일(월) | 미국 관세 우려 및 원자재 가격 변동성… 강관주 전반 차익실현 매물 출...
