rule_group,rule_value,evaluated_count,success_count,failure_count,success_rate,baseline_success_rate,lift_vs_baseline,confidence_level,recommended_action,suspicious_flag,suspicious_reason,date_coverage_count
candidate_rank,missing,300,161,139,53.67,42.89,10.78,high,boost,False,,6
score_version,legacy_or_unknown,374,192,182,51.34,42.89,8.45,high,boost,False,,7
final_price_signal_score_v2,missing,374,192,182,51.34,42.89,8.45,high,boost,False,,7
overextension_penalty,missing,374,192,182,51.34,42.89,8.45,high,boost,False,,7
reversal_risk_penalty,missing,374,192,182,51.34,42.89,8.45,high,boost,False,,7
news_risk_penalty,missing,374,192,182,51.34,42.89,8.45,high,boost,False,,7
attention_noise_penalty,missing,374,192,182,51.34,42.89,8.45,high,boost,False,,7
volume_confirmation_score,missing,374,192,182,51.34,42.89,8.45,high,boost,False,,7
liquidity_score,missing,374,192,182,51.34,42.89,8.45,high,boost,False,,7
liquidity_score,confirmed,525,251,274,47.81,42.89,4.92,high,boost,False,,15
candidate_rank,rank_11_20,53,28,25,52.83,42.89,9.94,low,boost,False,,7
news_risk_penalty,medium,60,31,29,51.67,42.89,8.78,low,boost,False,,15
candidate_rank,rank_21_50,89,43,46,48.31,42.89,5.42,low,boost,False,,6
overextension_penalty,medium,56,26,30,46.43,42.89,3.54,low,boost,False,,12
candidate_rank,top_10,134,78,56,58.21,42.89,15.32,medium,boost,False,,16
selected_pick,selected,187,106,81,56.68,42.89,13.79,medium,boost,False,,16
volume_confirmation_score,high,119,67,52,56.3,42.89,13.41,medium,boost,False,,14
final_price_signal_score_v2,score_50_plus,241,130,111,53.94,42.89,11.05,medium,boost,False,,15
reversal_risk_penalty,high,263,139,124,52.85,42.89,9.96,medium,boost,True,boost_on_semantically_risky_bucket,15
overextension_penalty,high,236,119,117,50.42,42.89,7.53,medium,boost,True,boost_on_semantically_risky_bucket,15
candidate_rank,rank_101_plus,1138,447,691,39.28,42.89,-3.61,high,penalize,False,,15
overextension_penalty,none,1356,529,827,39.01,42.89,-3.88,high,penalize,False,,15
reversal_risk_penalty,none,873,335,538,38.37,42.89,-4.52,high,penalize,False,,15
final_price_signal_score_v2,score_20_30,544,205,339,37.68,42.89,-5.21,high,penalize,False,,15
candidate_rank,rank_51_100,382,142,240,37.17,42.89,-5.72,high,penalize,False,,11
volume_confirmation_score,none,414,148,266,35.75,42.89,-7.14,high,penalize,False,,15
liquidity_score,none,90,3,87,3.33,42.89,-39.56,low,penalize,True,large_lift_with_under_100_cases,15
final_price_signal_score_v2,score_lt_20,155,59,96,38.06,42.89,-4.83,medium,penalize,False,,15
reversal_risk_penalty,low,248,88,160,35.48,42.89,-7.41,medium,penalize,False,,15
reversal_risk_penalty,medium,338,145,193,42.9,42.89,0.01,high,neutral,False,,15
selected_pick,broad_pool,1909,793,1116,41.54,42.89,-1.35,high,neutral,False,,22
volume_confirmation_score,negative,923,380,543,41.17,42.89,-1.72,high,neutral,False,,15
score_version,v2_conservative_ranker,1722,707,1015,41.06,42.89,-1.83,high,neutral,False,,15
attention_noise_penalty,none,1653,677,976,40.96,42.89,-1.93,high,neutral,False,,15
liquidity_score,basic,1107,453,654,40.92,42.89,-1.97,high,neutral,False,,15
news_risk_penalty,none,1611,646,965,40.1,42.89,-2.79,high,neutral,False,,15
final_price_signal_score_v2,score_30_40,782,313,469,40.03,42.89,-2.86,high,neutral,False,,15
overextension_penalty,low,74,33,41,44.59,42.89,1.7,low,neutral,False,,13
attention_noise_penalty,high,61,27,34,44.26,42.89,1.37,low,neutral,False,,11
volume_confirmation_score,moderate,266,112,154,42.11,42.89,-0.78,medium,neutral,False,,15
news_risk_penalty,low,22,13,9,59.09,42.89,16.2,insufficient,watch,True,large_lift_with_under_100_cases,10
news_risk_penalty,high,29,17,12,58.62,42.89,15.73,insufficient,watch,True,large_lift_with_under_100_cases,5
attention_noise_penalty,low,6,3,3,50.0,42.89,7.11,insufficient,watch,False,,4
attention_noise_penalty,medium,2,0,2,0.0,42.89,-42.89,insufficient,watch,True,large_lift_with_under_100_cases; only_one_or_two_signal_dates,2
